20,29,42,43,49
10,11,29,31,48
8,15,18,32,34
10,27,30,40,41
6,16,30,38,41
18,23,31,39,49
8,9,17,27,30
12,13,15,27,48
4,9,10,18,20
6,11,23,33,50
11,17,23,24,35
1,6,11,15,47
1,2,11,25,34
1,38,40,46,50
6,12,20,27,29
1,16,29,33,46
2,36,37,41,47
1,18,22,25,28
22,28,42,44,45
7,19,28,42,46
12,22,31,43,47
18,19,27,29,32
6,19,34,38,45
4,17,25,38,49
12,23,31,39,45
6,9,17,30,48
10,11,13,35,47
3,7,20,42,45
1,20,33,44,46
18,25,34,43,44
23,35,37,45,47
7,17,19,33,37
5,7,30,31,35
5,11,14,26,50
5,17,19,26,46
4,16,40,45,49
2,6,9,25,47
6,17,20,26,37
14,17,19,25,41
10,20,31,39,40
